# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	average(T)
0             	2.980000e+02
0.0132        	2.981240e+02
0.032208      	2.983001e+02
0.0595795     	2.985514e+02
0.0989945     	2.989112e+02
0.155752      	2.994280e+02
0.237483      	3.001719e+02
0.355176      	3.012446e+02
0.524653      	3.027922e+02
0.7687        	3.050241e+02
1.120128      	3.082402e+02
1.626184      	3.128684e+02
2.354905      	3.195145e+02
3.331886      	3.283755e+02
4.331886      	3.373789e+02
5.331886      	3.463085e+02
6.331886      	3.551606e+02
7.331886      	3.639329e+02
8.331886      	3.726244e+02
9.331886      	3.812345e+02
10.331886     	3.897632e+02
11.331886     	3.982105e+02
12.331886     	4.065767e+02
13.331886     	4.148621e+02
14.331886     	4.230672e+02
15.331886     	4.311924e+02
16.331886     	4.392382e+02
17.331886     	4.472050e+02
18.331886     	4.550936e+02
19.331886     	4.629043e+02
20.331886     	4.706378e+02
21.331886     	4.782947e+02
22.331886     	4.858756e+02
23.331886     	4.933810e+02
24.331886     	5.008117e+02
25.331886     	5.081681e+02
26.331886     	5.154510e+02
27.331886     	5.226610e+02
28.331886     	5.297987e+02
29.331886     	5.368647e+02
30.331886     	5.438597e+02
31.331886     	5.507843e+02
32.331886     	5.576392e+02
33.331886     	5.644250e+02
34.331886     	5.711423e+02
35.331886     	5.777918e+02
36.331886     	5.843741e+02
37.331886     	5.908899e+02
38.331886     	5.973398e+02
39.331886     	6.037243e+02
40.331886     	6.100442e+02
41.331886     	6.163000e+02
42.331886     	6.224924e+02
43.331886     	6.286220e+02
44.331886     	6.346894e+02
45.331886     	6.406951e+02
46.331886     	6.466399e+02
47.331886     	6.525243e+02
48.331886     	6.583488e+02
49.331886     	6.641142e+02
50.331886     	6.698209e+02
51.331886     	6.754695e+02
52.331886     	6.810607e+02
53.331886     	6.865950e+02
54.331886     	6.920729e+02
55.331886     	6.974951e+02
56.331886     	7.028620e+02
57.331886     	7.081743e+02
58.331886     	7.134324e+02
59.331886     	7.186370e+02
60.331886     	7.237885e+02
61.331886     	7.288875e+02
62.331886     	7.339345e+02
63.331886     	7.389301e+02
64.331886     	7.438747e+02
65.331886     	7.487689e+02
66.331886     	7.536132e+02
67.331886     	7.584080e+02
68.331886     	7.631540e+02
69.331886     	7.678515e+02
70.331886     	7.725011e+02
71.331886     	7.771032e+02
72.331886     	7.816584e+02
73.331886     	7.861671e+02
74.331886     	7.906298e+02
75.331886     	7.950469e+02
76.331886     	7.994190e+02
77.331886     	8.037464e+02
78.331886     	8.080296e+02
79.331886     	8.122691e+02
80.331886     	8.164653e+02
81.331886     	8.206187e+02
82.331886     	8.247296e+02
83.331886     	8.287986e+02
84.331886     	8.328260e+02
85.331886     	8.368123e+02
86.331886     	8.407579e+02
87.331886     	8.446632e+02
88.331886     	8.485286e+02
89.331886     	8.523546e+02
90.331886     	8.561414e+02
91.331886     	8.598896e+02
92.331886     	8.635995e+02
93.331886     	8.672715e+02
94.331886     	8.709060e+02
95.331886     	8.745034e+02
96.331886     	8.780640e+02
97.331886     	8.815883e+02
98.331886     	8.850765e+02
99.331886     	8.885291e+02
100.331886    	8.919465e+02
101.331886    	8.953289e+02
102.331886    	8.986768e+02
103.331886    	9.019905e+02
104.331886    	9.052704e+02
105.331886    	9.085167e+02
106.331886    	9.117299e+02
107.331886    	9.149102e+02
108.331886    	9.180580e+02
109.331886    	9.211737e+02
110.331886    	9.242576e+02
111.331886    	9.273099e+02
112.331886    	9.303311e+02
113.331886    	9.333214e+02
114.331886    	9.362812e+02
115.331886    	9.392107e+02
116.331886    	9.421103e+02
117.331886    	9.449802e+02
118.331886    	9.478209e+02
119.331886    	9.506325e+02
120.331886    	9.534154e+02
121.331886    	9.561698e+02
122.331886    	9.588961e+02
123.331886    	9.615946e+02
124.331886    	9.642655e+02
125.331886    	9.669091e+02
126.331886    	9.695257e+02
127.331886    	9.721155e+02
128.331886    	9.746789e+02
129.331886    	9.772161e+02
130.331886    	9.797274e+02
131.331886    	9.822131e+02
132.331886    	9.846733e+02
133.331886    	9.871084e+02
134.331886    	9.895186e+02
135.331886    	9.919042e+02
136.331886    	9.942654e+02
137.331886    	9.966025e+02
138.331886    	9.989157e+02
139.331886    	1.001205e+03
140.331886    	1.003471e+03
141.331886    	1.005714e+03
142.331886    	1.007935e+03
143.331886    	1.010132e+03
144.331886    	1.012307e+03
145.331886    	1.014460e+03
146.331886    	1.016590e+03
147.331886    	1.018699e+03
148.331886    	1.020787e+03
149.331886    	1.022853e+03
150.331886    	1.024898e+03
151.331886    	1.026922e+03
152.331886    	1.028926e+03
153.331886    	1.030908e+03
154.331886    	1.032871e+03
155.331886    	1.034814e+03
156.331886    	1.036737e+03
157.331886    	1.038640e+03
158.331886    	1.040523e+03
159.331886    	1.042388e+03
160.331886    	1.044233e+03
161.331886    	1.046060e+03
162.331886    	1.047868e+03
163.331886    	1.049657e+03
164.331886    	1.051428e+03
165.331886    	1.053181e+03
166.331886    	1.054916e+03
167.331886    	1.056634e+03
168.331886    	1.058334e+03
169.331886    	1.060016e+03
170.331886    	1.061681e+03
171.331886    	1.063330e+03
172.331886    	1.064961e+03
173.331886    	1.066576e+03
174.331886    	1.068174e+03
175.331886    	1.069756e+03
176.331886    	1.071322e+03
177.331886    	1.072872e+03
178.331886    	1.074406e+03
179.331886    	1.075924e+03
180.331886    	1.077427e+03
181.331886    	1.078914e+03
182.331886    	1.080386e+03
183.331886    	1.081843e+03
184.331886    	1.083286e+03
185.331886    	1.084713e+03
186.331886    	1.086126e+03
187.331886    	1.087525e+03
188.331886    	1.088909e+03
189.331886    	1.090279e+03
190.331886    	1.091635e+03
191.331886    	1.092977e+03
192.331886    	1.094306e+03
193.331886    	1.095621e+03
194.331886    	1.096922e+03
195.331886    	1.098210e+03
196.331886    	1.099485e+03
197.331886    	1.100747e+03
198.331886    	1.101996e+03
199.331886    	1.103233e+03
200.331886    	1.104457e+03
201.331886    	1.105668e+03
202.331886    	1.106867e+03
203.331886    	1.108053e+03
204.331886    	1.109228e+03
205.331886    	1.110390e+03
206.331886    	1.111541e+03
207.331886    	1.112680e+03
208.331886    	1.113807e+03
209.331886    	1.114922e+03
210.331886    	1.116027e+03
211.331886    	1.117120e+03
212.331886    	1.118202e+03
213.331886    	1.119272e+03
214.331886    	1.120332e+03
215.331886    	1.121381e+03
216.331886    	1.122419e+03
217.331886    	1.123447e+03
218.331886    	1.124464e+03
219.331886    	1.125471e+03
220.331886    	1.126468e+03
221.331886    	1.127454e+03
222.331886    	1.128430e+03
223.331886    	1.129396e+03
224.331886    	1.130353e+03
225.331886    	1.131299e+03
226.331886    	1.132236e+03
227.331886    	1.133164e+03
228.331886    	1.134082e+03
229.331886    	1.134990e+03
230.331886    	1.135889e+03
231.331886    	1.136779e+03
232.331886    	1.137660e+03
233.331886    	1.138532e+03
234.331886    	1.139395e+03
235.331886    	1.140250e+03
236.331886    	1.141095e+03
237.331886    	1.141932e+03
238.331886    	1.142760e+03
239.331886    	1.143580e+03
240.331886    	1.144392e+03
241.331886    	1.145195e+03
242.331886    	1.145990e+03
243.331886    	1.146777e+03
244.331886    	1.147555e+03
245.331886    	1.148326e+03
246.331886    	1.149089e+03
247.331886    	1.149844e+03
248.331886    	1.150592e+03
249.331886    	1.151332e+03
250.331886    	1.152064e+03
251.331886    	1.152789e+03
252.331886    	1.153506e+03
253.331886    	1.154216e+03
254.331886    	1.154919e+03
255.331886    	1.155615e+03
256.331886    	1.156303e+03
257.331886    	1.156985e+03
258.331886    	1.157659e+03
259.331886    	1.158327e+03
260.331886    	1.158988e+03
261.331886    	1.159642e+03
262.331886    	1.160289e+03
263.331886    	1.160930e+03
264.331886    	1.161564e+03
265.331886    	1.162192e+03
266.331886    	1.162813e+03
267.331886    	1.163428e+03
268.331886    	1.164037e+03
269.331886    	1.164639e+03
270.331886    	1.165235e+03
271.331886    	1.165826e+03
272.331886    	1.166410e+03
273.331886    	1.166988e+03
274.331886    	1.167560e+03
275.331886    	1.168127e+03
276.331886    	1.168687e+03
277.331886    	1.169242e+03
278.331886    	1.169792e+03
279.331886    	1.170335e+03
280.331886    	1.170873e+03
281.331886    	1.171406e+03
282.331886    	1.171933e+03
283.331886    	1.172455e+03
284.331886    	1.172971e+03
285.331886    	1.173483e+03
286.331886    	1.173988e+03
287.331886    	1.174489e+03
