# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	min(T)
0             	2.980000e+02
0.0132        	2.979978e+02
0.032208      	2.980004e+02
0.0595795     	2.980044e+02
0.0989945     	2.980253e+02
0.155752      	2.981020e+02
0.237483      	2.983113e+02
0.355176      	2.987875e+02
0.524653      	2.997375e+02
0.7687        	3.013659e+02
1.120128      	3.041219e+02
1.626184      	3.086035e+02
2.354905      	3.155588e+02
3.331886      	3.254281e+02
4.331886      	3.358683e+02
5.331886      	3.465218e+02
6.331886      	3.572963e+02
7.331886      	3.681066e+02
8.331886      	3.788910e+02
9.331886      	3.896164e+02
10.331886     	4.002540e+02
11.331886     	4.107835e+02
12.331886     	4.211904e+02
13.331886     	4.314632e+02
14.331886     	4.415893e+02
15.331886     	4.515613e+02
16.331886     	4.613734e+02
17.331886     	4.710436e+02
18.331886     	4.805750e+02
19.331886     	4.899677e+02
20.331886     	4.992227e+02
21.331886     	5.083404e+02
22.331886     	5.173227e+02
23.331886     	5.261714e+02
24.331886     	5.348886e+02
25.331886     	5.434764e+02
26.331886     	5.519369e+02
27.331886     	5.602721e+02
28.331886     	5.684842e+02
29.331886     	5.765754e+02
30.331886     	5.845478e+02
31.331886     	5.924036e+02
32.331886     	6.001446e+02
33.331886     	6.077732e+02
34.331886     	6.152912e+02
35.331886     	6.227007e+02
36.331886     	6.300036e+02
37.331886     	6.372017e+02
38.331886     	6.442970e+02
39.331886     	6.512912e+02
40.331886     	6.581861e+02
41.331886     	6.649836e+02
42.331886     	6.716857e+02
43.331886     	6.782953e+02
44.331886     	6.848097e+02
45.331886     	6.912194e+02
46.331886     	6.975263e+02
47.331886     	7.037338e+02
48.331886     	7.098448e+02
49.331886     	7.158617e+02
50.331886     	7.217868e+02
51.331886     	7.276222e+02
52.331886     	7.333699e+02
53.331886     	7.390321e+02
54.331886     	7.446104e+02
55.331886     	7.501067e+02
56.331886     	7.555228e+02
57.331886     	7.608604e+02
58.331886     	7.661210e+02
59.331886     	7.713063e+02
60.331886     	7.764177e+02
61.331886     	7.814568e+02
62.331886     	7.864250e+02
63.331886     	7.913237e+02
64.331886     	7.961542e+02
65.331886     	8.009179e+02
66.331886     	8.056160e+02
67.331886     	8.102498e+02
68.331886     	8.148204e+02
69.331886     	8.193291e+02
70.331886     	8.237771e+02
71.331886     	8.281655e+02
72.331886     	8.324954e+02
73.331886     	8.367678e+02
74.331886     	8.409839e+02
75.331886     	8.451447e+02
76.331886     	8.492508e+02
77.331886     	8.533039e+02
78.331886     	8.573049e+02
79.331886     	8.612547e+02
80.331886     	8.651545e+02
81.331886     	8.690054e+02
82.331886     	8.728095e+02
83.331886     	8.765699e+02
84.331886     	8.802857e+02
85.331886     	8.839565e+02
86.331886     	8.875825e+02
87.331886     	8.911641e+02
88.331886     	8.947019e+02
89.331886     	8.981963e+02
90.331886     	9.016481e+02
91.331886     	9.050577e+02
92.331886     	9.084257e+02
93.331886     	9.117528e+02
94.331886     	9.150396e+02
95.331886     	9.182866e+02
96.331886     	9.214944e+02
97.331886     	9.246635e+02
98.331886     	9.277947e+02
99.331886     	9.308883e+02
100.331886    	9.339450e+02
101.331886    	9.369652e+02
102.331886    	9.399496e+02
103.331886    	9.428986e+02
104.331886    	9.458128e+02
105.331886    	9.486925e+02
106.331886    	9.515383e+02
107.331886    	9.543506e+02
108.331886    	9.571301e+02
109.331886    	9.598766e+02
110.331886    	9.625907e+02
111.331886    	9.652726e+02
112.331886    	9.679227e+02
113.331886    	9.705415e+02
114.331886    	9.731291e+02
115.331886    	9.756859e+02
116.331886    	9.782123e+02
117.331886    	9.807083e+02
118.331886    	9.831739e+02
119.331886    	9.856092e+02
120.331886    	9.880138e+02
121.331886    	9.903867e+02
122.331886    	9.927257e+02
123.331886    	9.950207e+02
124.331886    	9.972683e+02
125.331886    	9.994791e+02
126.331886    	1.001658e+03
127.331886    	1.003808e+03
128.331886    	1.005934e+03
129.331886    	1.008045e+03
130.331886    	1.010144e+03
131.331886    	1.012225e+03
132.331886    	1.014288e+03
133.331886    	1.016330e+03
134.331886    	1.018352e+03
135.331886    	1.020354e+03
